N_A,N_B,cost_yuan,p_self_lower,p_total_necessary_upper
1,7,0.026572637861613665,0.43995550423405483,0.4399566848600456
0,14,0.023457225146803793,0.4353266876448867,0.43533029255224487
1,6,0.024897121779699112,0.41662031691047374,0.41662124830378156
0,13,0.021781709064889236,0.41179863296342356,0.4118018522341136
1,5,0.02322160569778455,0.3923128301150768,0.39231353203365926
0,12,0.02010619298297468,0.38729024267023293,0.38729308070040125
1,4,0.02154608961587,0.36699253136987164,0.36699302744990003
0,11,0.018430676901060122,0.3617606694481592,0.36176313347788935
1,3,0.01987057353395544,0.3406172201769496,0.34061753829770314
0,10,0.016755160819145565,0.3351673640084992,0.33516946442756734
1,2,0.018195057452040884,0.31314293768432244,0.31314311035996745
0,9,0.01507964473723101,0.30746600417551995,0.30746775485292366
1,1,0.016519541370126328,0.28452389342116924,0.28452395822116916
0,8,0.013404128655316453,0.2786104210161666,0.2786118396550078
1,0,0.01484402528821177,0.2547123889803846,0.2547123889803845
0,7,0.011728612573401897,0.24855252189184018,0.24855363041124978
0,6,0.01005309649148734,0.21724221030400015,0.21724303524988542
0,5,0.008377580409572783,0.18462730240000014,0.18462787538651193
0,4,0.006702064327658227,0.15065344000000014,0.15065379818372504
0,3,0.00502654824574367,0.11526400000000014,0.11526418658900772
0,2,0.0033510321638291134,0.07840000000000003,0.07840006479999984
0,1,0.0016755160819145567,0.040000000000000036,0.039999999999999925
0,0,0.0,0.0,0.0
