N_A,N_B,cost_yuan,p_self_lower
5,0,0.07422012644105885,0.7700573617814551
5,1,0.07589564252297341,0.7792550673101969
5,2,0.07757115860488796,0.788084864617789
5,3,0.07924667468680252,0.7965614700330775
5,4,0.08092219076871708,0.8046990112317545
5,5,0.08259770685063164,0.8125110507824842
5,6,0.08427322293254619,0.8200106087511849
5,7,0.08594873901446075,0.8272101844011375
5,8,0.08762425509637531,0.8341217770250919
5,9,0.08929977117828987,0.8407569059440883
5,10,0.09097528726020442,0.8471266297063248
5,11,0.09265080334211898,0.8532415645180718
5,12,0.09432631942403354,0.859111901937349
5,13,0.0960018355059481,0.864747425859855
5,14,0.09767735158786264,0.8701575288254608
5,15,0.0993528676697772,0.8753512276724423
5,16,0.10102838375169176,0.8803371785655447
5,17,0.10270389983360631,0.8851236914229229
5,18,0.10437941591552087,0.889718743766006
5,19,0.10605493199743543,0.8941299940153657
5,20,0.10773044807934998,0.8983647942547511
5,21,0.10940596416126455,0.9024302024845611
5,22,0.1110814802431791,0.9063329943851787
5,23,0.11275699632509366,0.9100796746097715
5,24,0.11443251240700822,0.9136764876253807
5,25,0.11610802848892277,0.9171294281203655
5,26,0.11778354457083733,0.9204442509955508
5,27,0.11945906065275189,0.9236264809557287
5,28,0.12113457673466643,0.9266814217174997
5,29,0.122810092816581,0.9296141648487997
5,30,0.12448560889849555,0.9324295982548476
5,31,0.1261611249804101,0.9351324143246538
5,32,0.12783664106232467,0.9377271177516676
