eccentric_shaft_angle_deg,gas_torque_chamber_A_Nm,gas_torque_chamber_B_Nm,gas_torque_chamber_C_Nm,gas_torque_total_Nm,mean_mechanical_loss_torque_Nm,conditional_shaft_torque_Nm
178.0,69.64439317312043,-0.32990271710166397,-15.916990323982917,53.39750013203586,4.098595965841337,49.29890416619452
179.0,67.96730010849615,-0.16477029214759378,-16.161254846988555,51.64127496936,4.098595965841337,47.54267900351866
180.0,66.31003212269955,-3.464380546665228e-15,-16.407975739544227,49.902056383155326,4.098595965841337,45.803460417313985
181.0,64.67324074527424,0.16437406869481483,-16.6571999716942,48.18041484227486,4.098595965841337,44.081818876433516
182.0,63.057521516298316,0.3283204906230042,-16.908975295836772,46.476866711084554,4.098595965841337,42.37827074524321
183.0,61.4634159717205,0.49181076128169304,-17.16335026178489,44.79187647121731,4.098595965841337,40.69328050537597
184.0,59.89141363034788,0.6548195417601976,-17.420374231955655,43.12585894015242,4.098595965841337,39.027262974311085
185.0,58.34195397639513,0.817324898142161,-17.68009739667785,41.47918147785944,4.098595965841337,37.3805855120181
186.0,56.815428432019466,0.9793085304647142,-17.942570789606627,39.85216617287755,4.098595965841337,35.75357020703622
187.0,55.312182314758154,1.14075598807637,-18.20784630323361,38.245091999600916,4.098595965841337,34.146496033759576
188.0,53.8325167752536,1.3016568684768608,-18.47597670447743,36.65819693925303,4.098595965841337,32.55960097341169
189.0,52.3766907110993,1.4620049974499882,-18.747015650340703,35.09168005820858,4.098595965841337,30.993084092367244
190.0,50.94492265306461,1.6217985898358487,-19.021017703616423,33.545703539284034,4.098595965841337,29.447107573442697
191.0,49.53739262035869,1.7810403933340675,-19.298038348624768,32.02039466506798,4.098595965841337,27.921798699226645
192.0,48.15424394197372,1.939737823867568,-19.57813400696083,30.515847758880454,4.098595965841337,26.417251793039117
193.0,46.79558504150644,2.0979031140919258,-19.861362053231083,29.032126102367286,4.098595965841337,24.93353013652595
