theta_deg,mass_kg,fresh_mass_kg,internal_energy_J,work_J,wall_heat_J,pressure_Pa,temperature_K,volume_m3,dV_ddeg_m3,mfuel_per_cycle_kg,p_in_effective_Pa
906.0,0.0004457720305755835,0.0004253098900306149,122.64063613153229,588.1092673384705,46.7341489032741,146356.9301623576,383.1749721924281,0.0003349488996602171,-2.1396795915533427e-06,2.9326056611725016e-05,101325.0
907.0,0.00044577185219682566,0.000425309719839924,122.96708054488366,587.7937995500082,46.72310349494206,147692.63031502414,384.19505972229007,0.0003328031970480651,-2.1516772164641796e-06,2.9326056611725016e-05,101325.0
908.0,0.0004457716715273359,0.0004253095474636519,123.29816229120891,587.4736769942033,46.71207445113074,149056.61443890695,385.2296388131535,0.0003306456423286107,-2.163383538722934e-06,2.9326056611725016e-05,101325.0
909.0,0.0004457714885633752,0.00042530937289823135,123.6339310148801,587.1488493769275,46.70106241273787,150449.51414367792,386.27886460950356,0.00032847652760022676,-2.1747969734809574e-06,2.9326056611725016e-05,101325.0
910.0,0.00044577130330100017,0.0004253091961398998,123.97443728268576,586.8192654596794,46.69006804239649,151871.9794002786,387.3428951387206,0.0003262961465263244,-2.185915975541888e-06,2.9326056611725016e-05,101325.0
911.0,0.00044577111573606626,0.0004253090171847031,124.31973259911192,586.4848730436382,46.67909202513847,153324.67912321203,388.42189135883837,0.0003241047942955986,-2.1967390395708366e-06,2.9326056611725016e-05,101325.0
912.0,0.00044577092586423175,0.0004253088360284988,124.66986942187647,586.1456189534429,46.66813506907942,154808.3017736732,389.5160172070942,0.00032190276758206377,-2.207264700298179e-06,2.9326056611725016e-05,101325.0
913.0,0.0004457707336809608,0.0004253086526669592,125.02490117771596,585.8014490206959,46.657197906125646,156323.55598429957,390.62543964926886,0.000319690364504888,-2.217491532717943e-06,2.9326056611725016e-05,101325.0
914.0,0.0004457705391815263,0.00042530846709557424,125.38488227842379,585.4523080671933,46.64628129270405,157871.17120635658,391.7503287298124,0.0003174678845880318,-2.2274181522807307e-06,2.9326056611725016e-05,101325.0
915.0,0.0004457703423610128,0.0004253082793096541,125.7498681371381,585.0981398878804,46.63538601051562,159451.8983802015,392.8908576227511,0.0003152356287197007,-2.237043215081149e-06,2.9326056611725016e-05,101325.0
916.0,0.00044577014321431894,0.0004253080893043315,126.11991518487724,584.7388872335365,46.624512867313356,161066.51062990932,394.0472026833678,0.00031299389911160577,-2.246365418039768e-06,2.9326056611725016e-05,101325.0
917.0,0.0004457699417361597,0.0004253078970745641,126.49508088732013,584.374491793188,46.613662697705635,162715.80398296638,395.21954350064897,0.0003107429992580516,-2.255383499079535e-06,2.9326056611725016e-05,101325.0
